Site (text),Site Depth(m),Surface-Bottom,Log Depth(m),Latitude,Longitude,Year,Serial_number
"Alberton, P.E.I.",9,B,9,46.7368,63.971,2019,354090
"Anse Bleue 1, N.B.",24,B,12,47.85065,65.07125,2019,358425
"Anse Bleue 1, N.B.",25,B,12,47.85065,65.07125,2019,356286
"Anse Bleue 2, N.B.",24,B,18,47.85065,65.07125,2019,358424
"Anse Bleue 2, N.B.",25,B,18,47.85065,65.07125,2019,354244
"Anse Bleue 3, N.B.",24,B,24,47.85065,65.07125,2019,356284
"Anse Bleue 3, N.B.",25,B,25,47.85065,65.07125,2019,358433
"Ballantynes, N.S.",20,B,19,45.6706,61.7878,2019,354240
"Bayfield, N.S.",20,B,20,45.67055556,61.78777778,2019,354252
"Cape George, N.S.",17,B,16,45.87619,61.88717,2019,350549
"Cape Tormentine, N.B.",15,B,14,46.10944444,63.68444444,2019,356293
"Caribou, N.S.",10,B,9,45.77464,62.67353,2019,350530
"Cascumpeque, P.E.I.",12,B,11,46.79563,63.99395,2019,354093
"Cheticamp, N.S.",18,B,17,46.6131,61.0658,2019,350520
"Covehead 1, P.E.I.",7,B,7,46.4408,63.15933,2019,354254
"Covehead 2, P.E.I.",13,B,12,46.4484,63.1385,2019,350525
"East Point Reef, P.E.I.",22,B,21,46.47333,61.94889,2019,352989
"Egmont Bay, P.E.I.",8,B,8,46.4562,64.13182,2019,354255
"Escuminac, N.B.",11,B,10,47.1192,64.785,2019,354544
"Escuminac, N.B.",11,S,2,47.1192,64.785,2019,350540
"Fortune 1, P.E.I.",9,B,9,46.30181,62.33591,2019,350521
"Fortune 2, P.E.I.",21,B,21,46.30228,62.30926,2019,354239
"Indian Rocks, P.E.I.",20,B,19,45.91507,62.8199,2019,354097
"Jack Shoal, N.S.",17,B,16,45.72256,61.54981,2019,354095
"Judique Shoals, N.S.",14,B,13,45.83786,61.55272,2019,354136
"Le Goulet, N.B.",9,B,8,47.7106,64.6497,2019,350539
"Mabou Harbour, N.S.",13,B,12,46.09141,61.49111,2019,350547
"Malpeque, P.E.I.",17,B,16,46.58339,63.61881,2019,350505
"Malpeque, P.E.I.",17,S,2,46.58339,63.61881,2019,350574
"Margaree, N.S.",18,B,17,46.4558,61.1228,2019,350503
"Miscou, N.B.",15,B,14,48.03061,64.54602,2019,354091
"Murray Harbour, P.E.I.",8,B,8,46.0544,62.4553,2019,352986
"Nine Mile Creek, P.E.I.",8,B,8,46.10353,63.22673,2019,354094
"North Cape, P.E.I.",18,B,17,47.08333,64.00083,2019,350550
"North Tracadie, P.E.I.",12,B,11,46.43422,63.03378,2019,350526
"Pictou Island, N.S.",20,B,19,45.82417,62.61278,2019,358427
Pleasant Bay,20,B,19,46.92583333,60.70555556,2019,358422
"Pleasant Bay, N.S.",27,B,26,46.84169,60.80489,2019,358426
"Pleasant Bay, N.S.",27,S,2,46.84169,60.80489,2019,352987
"Pointe Sapin, N.B.",10,B,9,46.97333,64.74389,2019,354096
"Port Hood, N.S.",20,B,19,45.975,61.54611111,2019,354099
"Prim Reef, P.E.I.",14,B,13,46.0445,63.11324,2019,350546
"Pugwash, N.S.",13,B,12,45.9192,63.595,2019,350518
"Richibucto, N.B.",12,B,10,46.72506,64.74103,2019,350529
"River John, N.S.",20,B,19,45.8686,63.0914,2019,354241
"Rustico, P.E.I.",11,B,10,46.465,63.275,2019,352984
"Shediac, N.B.",6,B,5,46.28167,64.50153,2019,350524
"Shippagan, N.B.",18,B,17,47.88728,64.76322,2019,352982
"Shippagan, N.B.",18,S,2,47.88728,64.76322,2019,354092
"Skinners Pond, P.E.I.",7,B,7,46.94236,64.1868,2019,350513
"Souris, P.E.I.",21,B,20,46.32947,62.25658,2019,350531
Strait Crossing 1,15,B,14,46.28342,63.87103,2019,352990
Strait Crossing 2,20,B,19,46.15,63.65028,2019,350527
"Tabusintac, N.B.",6,B,5,47.28944444,64.92027778,2019,356290
"Victoria, P.E.I.",7,B,6,46.17644,63.46686,2019,354253
"Wallace 1, N.S.",15,B,14,45.8339,63.2906,2019,350514
"West Point, P.E.I.",24,B,23,46.66833,64.50028,2019,354102
