site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,serial.number,buoy.id
"Cape George, N.S.",17,B,16,45.87619,61.88717,2022,350549,VU2
"Cape Tormentine, N.B.",15,B,14,46.10944,63.68444,2022,356293,X5
"Caribou, N.S.",10,B,9,45.77464,62.67353,2022,350530,SP2
"Escuminac, N.B.",11,B,10,47.11920,64.78500,2022,350544,X31
"Jack Shoal, N.S.",17,B,16,45.72256,61.54981,2022,354095,VU4
"Judique Shoals, N.S.",14,B,13,45.83786,61.55272,2022,354136,VN2
"Mabou Harbour, N.S.",13,B,12,46.09141,61.49111,2022,350547,VJ
"Malpeque, P.E.I.",17,B,16,46.58339,63.61881,2022,350505,JP
"Miscou, N.B.",15,B,14,48.03061,64.54602,2022,354091,EB
"North Cape, P.E.I.",18,B,17,47.08333,64.00083,2022,350550,DS
"North Tracadie, P.E.I.",12,B,11,46.43422,63.03378,2022,350526,JH
"Pleasant Bay 2, N.S.",27,B,26,46.84169,60.80489,2022,358426,VC
"Pointe Sapin, N.B.",10,B,9,46.97333,64.74389,2022,354096,X25
"Richibucto, N.B.",12,B,10,46.72506,64.74103,2022,350529,Q
"Rustico, P.E.I.",11,B,10,46.46500,63.27500,2022,352984,JK
"Shediac, N.B.",6,B,5,46.28167,64.50153,2022,350524,XN
"Shippagan, N.B.",18,S,2,47.88728,64.76322,2022,354092,EE
Strait Crossing 1,15,B,14,46.28342,63.87103,2022,352990,XF
Strait Crossing 2,20,B,19,46.15000,63.65028,2022,350527,XB
"Victoria, P.E.I.",7,B,6,46.17644,63.46686,2022,354253,NX
"West Point, P.E.I.",24,B,23,46.66833,64.50028,2022,354102,D8
